bairro_origem,bairro_destino,logradouro,observacao,peso
Mangabeira,Arruda,R. Jacob,,1
Morro Da Conceição,Vasco da Gama,R. Corrego do Ouro,,1
Vasco Da Gama,Nova Descoberta,R. Alto 13 de Maio,,1
Vasco Da Gama,Brejo De Beberibe,Av. Vereador Otacilio Azevedo,,2
Brejo Da Guabiraba,Passarinho,R. Santa Tereza,,1
Brejo Da Guabiraba,Brejo De Beberibe,R. Portelândia,A rua se torna a Rua Alto do Refúgio no Brejo de Beberibe,1
Brejo Da Guabiraba,Nova Descoberta,R. Alto José Idalino,,1
Brejo De Beberibe,Linha do Tiro,R. Uriel de Holanda,,1
Brejo De Beberibe,Nova Descoberta,R. Alto do Refúgio,,1
Córrego Do Jenipapo,Brejo da Guabiraba,R. Córrego da Loira,,1
Córrego Do Jenipapo,Nova Descoberta,R. Alto Santa Luzia,,1
Córrego Do Jenipapo,Macaxeira,R. Alto do Formoso,,1
Córrego Do Jenipapo,Apipucos,R. Erundina Negreiros de Araújo,Por meio da rua - chega na avenida norte para Apipucos,1
Córrego Do Jenipapo,Dois Irmãos,Av. Norte Miguel Arraes de Alencar,Precisa verificar | Pelo giradourou / retorno,2
Guabiraba,Brejo da Guabiraba,Estr. dos Macacos,A partir da Estrada - chega na Avenida da Recuperação,6
Guabiraba,Córrego do Jenipapo,Av. da Recuperação,Precisa verificar | BR 101,2
Guabiraba,Passarinho,Estr. Da Mumbeca,,6
Guabiraba,Dois Irmãos,Estr. dos Macacos,Precisa verificar,2
Macaxeira,Nova Descoberta,R. Corrego de Areia,,1
Nova Descoberta,Alto do Mandu,R. Nova descoberta,A partir da Rua Imbiriba chega na Nova Descoberta,1
Passarinho,Dois Unidos,Estr. do Passarinho,,6
Passarinho,Brejo de Beberibe,Av. Canaã,,2
Pau-Ferro,Guabiraba,Estr. do Orfanato,,6
Cordeiro,Torrões,Estr. do Forte do Arraial Novo do Bom Jesus,,6
Cordeiro,Iputinga,Av. Maurício de Nassau,,2
Cordeiro,Zumbi,R. Gomes Taborda,,1
Cordeiro,Torre,R. Marquês de Maricá,Muda para: R. Dianópolis,1
Cordeiro,San Martin,Av. Gen. San Martin,,2
Ilha Do Retiro,Madalena,R. Benfica,O retorno da Benfica chega na Rua Pref. Jorge Martins,1
Ilha Do Retiro,Afogados,Estr. dos Remédios,,6
Ilha Do Retiro,Prado,Av. Abdias de Carvalho,BR 232,2
Iputinga,Caxangá,Av. Luís de Lacerda,Muda para: R. Min. João Alberto,2
Iputinga,Várzea,Av. Caxangá,PE 005,2
Iputinga,Cidade Universitária,Viaduto Caxangá,BR 101,3
Iputinga,Engenho do Meio,R. Antônio Curado,Muda de nome para: R. Manoel Estevão da Costa e R. Bom Pastor,
Madalena,Torre,R. Real da Torre,,1
Madalena,Prado,R. Carlos Gomes,,1
Madalena,Zumbi,R. Dom Manoel da Costa,,1
Prado,Zumbi,R. Fidélis Moliterno,Muda de nome para: R. Austro Costa,1
Prado,Bongi,R. Santa Edwirges,,1
Torre,Zumbi,R. Conselheiro Theodoro,,1
Engenho do Meio,Torrões,R. Manuel Alves Deus Dara,Muda de nome para: Av. Bicentenário da Revolução Francesa,1
Engenho do Meio,Cidade Universitária,R. Costa Sepúlveda,,1
Engenho do Meio,Cordeiro,R. Dr. Miguel Viêira Ferreira,,1
Engenho do Meio,Curado,Tv. Washington Duarte Espíndola,,7
Torrões,Curado,Av. Eng. Abdias de Carvalho,BR 232,2
Torrões,San Martin,R. Delmiro Gouvêia,,1
Caxangá,Várzea,R. Ribeiro Pessoa,Desemboca na R. Gastão Vidigal,
Cidade Universitária,Várzea,R. Gen. Polidoro,,1
Cidade Universitária,Curado,Av. Prof. Luiz Freire,,2
Várzea,Curado,R. Dr. George Wiliam Butler,,1
Afogados,Mangueira,R. Vinte e Um de Abril,,1
Afogados,Jiquiá,R. São Miguel,Via PE-007,1
Afogados,Mustardinha,Av. Mustardinha,,2
Afogados,Imbiribeira,Pte. Motocolombó,,4
Bongi,San Martin,R. Itapemirim,,1
Bongi,Afogados,Estr. do Bongi,,6
Bongi,Mustardinha,Av. Manoel Gonçalves da Luz,,2
Mangueira,Mustardinha,R. Dr. João Elísio,Continuação na Avenida Manoel Gonçalves da Luz,1
Mangueira,San Martin,R. Tanguará,,1
Mangueira,Jiquiá,R. Palestina,Desemboca na R. Bom Jardim,1
Mustardinha,San Martin,R. Itaquari,,1
San Martin,Jiquiá,Av. General San Martin,Desemboca na Avenida João Cabral de Melo Neto,2
San Martin,Jardim São Paulo,Av. João Cabral de Melo Neto,Atravessa a Avenida Recife e chega na Rua Senador Alberto Pasqualini,2
Areias,Jiquiá,R. Elizeu César,Chega nela por meio da Avenida Tapajós,1
Areias,Barro,Av. Dr. José Rufino,,2
Areias,Estância,Av. Tapajós,,2
Areias,Jardim São Paulo,R. José Natário,Chega na rua por meio da Avenida São Paulo,1
Areias,Caçote,R. Dona Ana Aurora,,1
Areias,Ibura,Av. Recife,Precisa verificar,2
Estância,Jardim São Paulo,R. Senador Alberto Pasqualini,,1
Estância,Jiquiá,R. João Texeira,,1
Barro,Ibura,Rod. Governador Mario Covas,,5
Barro,Jardim São Paulo,Av. Central,,1
Barro,Cohab,Av. Engenhho Muribeca,,2
Barro,Tejipió,Rua Luiz Soares,Continuação da Avenida Central,1
Coqueiral,Tejipió,R. Aprígio Guimaraes,Continuação da R. da Custódia,1
Coqueiral,Sancho,R. do Nascente,Desemboca na Rua Paulino de Farias,1
Coqueiral,Totó,R. Paulino de Farias,,1
Curado,Totó,R. Juvêncio Marquês da Cunha,,1
Curado,Sancho,R. Maganael,,1
Curado,Jardim São Paulo,R. da Capela,,1
Jardim São Paulo,Tejipió,Av. Padre Ibiapina,A partir da Avenida - chega na Avenida Liberdade,2
Sancho,Tejipió,R. Dracena,Continuação R. Matoso da Câmara,1
Sancho,Totó,Av. Liberdade,,2
Boa Viagem,Imbiribeira,Av. General Mac Arthur,,2
Boa Viagem,Pina,Av. Boa Viagem,,2
Boa Viagem,Ibura,Viaduto Pres. Tancredo Neves,,3
Boa Viagem,Jordão,R. Remígio,R. Emigio acessa a Av. Centenário Alberto Santos Dummont,1
Imbiribeira,Ipsep,R. Jean Emile Favre,,1
Imbiribeira,Ibura,Av. Mascarenhas de Morais,,2
Ipsep,Ibura,R. São Nicolau,pela Rua São Nicolau (Ipsep) acessa Av. Dom Hélder Câmara (Ibura),1
Ipsep,Areias,Av. Recife,Precisa verificar,2
Pina,Brasília Teimosa,R. Dagoberto Pires,,1
Ibura,Caçote,Av. Recife,Precisa verificar,2
Ibura,Jordão,R. Nova Canaã,,1
Ibura,Cohab,Av. Dois Rios,,2
Jordão,Cohab,Rod. Governador Mario Covas,Precisa verificar | Pegando o retorno perto da R. Jaguaratema,5
